agency_cd,site_no,datetime,116034_72019_00003,116034_72019_00003_cd
USGS,452033122195901,2001-09-07,63.97,A
USGS,452033122195901,2001-09-08,63.84,A
USGS,452033122195901,2001-09-09,63.7,A
USGS,452033122195901,2001-09-10,63.85,A
USGS,452033122195901,2001-09-11,63.95,A
USGS,452033122195901,2001-09-12,63.89,A
USGS,452033122195901,2001-09-13,64.12,A
USGS,452033122195901,2001-09-14,64.48,A
USGS,452033122195901,2001-09-15,64.82,A
USGS,452033122195901,2001-09-16,64.21,A
USGS,452033122195901,2001-09-17,64.2,A
USGS,452033122195901,2001-09-18,64.29,A
USGS,452033122195901,2001-09-19,64.23,A
USGS,452033122195901,2001-09-20,64.06,A
USGS,452033122195901,2001-09-21,64.13,A
USGS,452033122195901,2001-09-22,64.07,A
USGS,452033122195901,2001-09-23,63.95,A
USGS,452033122195901,2001-09-24,64.04,A
USGS,452033122195901,2001-09-25,64.03,A
USGS,452033122195901,2001-09-26,64.14,A
USGS,452033122195901,2001-09-27,64.11,A
USGS,452033122195901,2001-09-28,64.12,A
USGS,452033122195901,2001-09-29,64.17,A
USGS,452033122195901,2001-09-30,64.06,A
USGS,452033122195901,2001-10-01,64.07,A
USGS,452033122195901,2001-10-02,64.21,A
USGS,452033122195901,2001-10-03,64.19,A
USGS,452033122195901,2001-10-04,64.29,A
USGS,452033122195901,2001-10-05,64.16,A
USGS,452033122195901,2001-10-06,64.23,A
USGS,452033122195901,2001-10-07,64.21,A
USGS,452033122195901,2001-10-08,64.26,A
USGS,452033122195901,2001-10-09,64.38,A
USGS,452033122195901,2001-10-10,64.1,A
USGS,452033122195901,2001-10-11,64.26,A
USGS,452033122195901,2001-10-12,64.33,A
USGS,452033122195901,2001-10-13,64.31,A
USGS,452033122195901,2001-10-14,64.18,A
USGS,452033122195901,2001-10-15,64.08,A
USGS,452033122195901,2001-10-16,64.14,A
USGS,452033122195901,2001-10-17,65.26,A
USGS,452033122195901,2001-10-18,64.57,A
USGS,452033122195901,2001-10-19,64.22,A
USGS,452033122195901,2001-10-20,64.11,A
USGS,452033122195901,2001-10-21,64.07,A
USGS,452033122195901,2001-10-22,64.01,A
USGS,452033122195901,2001-10-23,64.37,A
USGS,452033122195901,2001-10-24,64.47,A
USGS,452033122195901,2001-10-25,64.34,A
USGS,452033122195901,2001-10-26,64.21,A
USGS,452033122195901,2001-10-27,64.18,A
USGS,452033122195901,2001-10-28,64.36,A
USGS,452033122195901,2001-10-29,64.36,A
