,prcp,et,disch,swe,stn_swe,gw
1970-01-01 00:00:00.000000001,,,,,,
1970-01-01 00:00:00.000000001,,,,,,
1970-01-01 00:00:00.000000001,,,,,,
1970-01-01 00:00:00.000000001,,,,,,
1970-01-01 00:00:00.000000001,,,,,,
1970-01-01 00:00:00.000000001,,,,,,
1970-01-01 00:00:00.000000001,,,,,,
1970-01-01 00:00:00.000000001,,,,,,
1970-01-01 00:00:00.000000001,,,,,,
1970-01-01 00:00:00.000000001,,,,,,
1970-01-01 00:00:00.000000001,,,,,,
1970-01-01 00:00:00.000000002,,,,,,
1970-01-01 00:00:00.000000002,,,,,,
1970-01-01 00:00:00.000000002,,,,,,
1970-01-01 00:00:00.000000002,,,,,,
1970-01-01 00:00:00.000000002,,,,,,
1970-01-01 00:00:00.000000002,,,,,,
1970-01-01 00:00:00.000000002,,,,,,
1970-01-01 00:00:00.000000002,,,,,,
1970-01-01 00:00:00.000000002,,,,,,
1970-01-01 00:00:00.000000002,,,,,,
1970-01-01 00:00:00.000000002,,,,,,
1970-01-01 00:00:00.000000003,,,,,,
1970-01-01 00:00:00.000000003,,,,,,
1970-01-01 00:00:00.000000003,,,,,,
1970-01-01 00:00:00.000000003,,,,,,
1970-01-01 00:00:00.000000003,,,,,,
1970-01-01 00:00:00.000000003,,,,,,
1970-01-01 00:00:00.000000003,,,,,,
1970-01-01 00:00:00.000000003,,,,,,
1970-01-01 00:00:00.000000003,,,,,,
1970-01-01 00:00:00.000000003,,,,,,
1970-01-01 00:00:00.000000003,,,,,,
1970-01-01 00:00:00.000000004,,,,,,
1970-01-01 00:00:00.000000004,,,,,,
1970-01-01 00:00:00.000000004,,,,,,
1970-01-01 00:00:00.000000004,,,,,,
1970-01-01 00:00:00.000000004,,,,,,
1970-01-01 00:00:00.000000004,,,,,,
1970-01-01 00:00:00.000000004,,,,,,
1970-01-01 00:00:00.000000004,,,,,,
1970-01-01 00:00:00.000000004,,,,,,
1970-01-01 00:00:00.000000004,,,,,,
1970-01-01 00:00:00.000000004,,,,,,
1970-01-01 00:00:00.000000005,,,,,,
1970-01-01 00:00:00.000000005,,,,,,
1970-01-01 00:00:00.000000005,,,,,,
1970-01-01 00:00:00.000000005,,,,,,
1970-01-01 00:00:00.000000005,,,,,,
1970-01-01 00:00:00.000000005,,,,,,
1970-01-01 00:00:00.000000005,,,,,,
1970-01-01 00:00:00.000000005,,,,,,
1970-01-01 00:00:00.000000005,,,,,,
1970-01-01 00:00:00.000000005,,,,,,
1970-01-01 00:00:00.000000005,,,,,,
1970-01-01 00:00:00.000000006,,,,,,
1970-01-01 00:00:00.000000006,,,,,,
1970-01-01 00:00:00.000000006,,,,,,
1970-01-01 00:00:00.000000006,,,,,,
1970-01-01 00:00:00.000000006,,,,,,
1970-01-01 00:00:00.000000006,,,,,,
1970-01-01 00:00:00.000000006,,,,,,
1970-01-01 00:00:00.000000006,,,,,,
1970-01-01 00:00:00.000000006,,,,,,
1970-01-01 00:00:00.000000006,,,,,,
1970-01-01 00:00:00.000000006,,,,,,
1970-01-01 00:00:00.000000007,,,,,,
1970-01-01 00:00:00.000000007,,,,,,
1970-01-01 00:00:00.000000007,,,,,,
1970-01-01 00:00:00.000000007,,,,,,
1970-01-01 00:00:00.000000007,,,,,,
1970-01-01 00:00:00.000000007,,,,,,
1970-01-01 00:00:00.000000007,,,,,,
1970-01-01 00:00:00.000000007,,,,,,
1970-01-01 00:00:00.000000007,,,,,,
1970-01-01 00:00:00.000000007,,,,,,
1970-01-01 00:00:00.000000007,,,,,,
1970-01-01 00:00:00.000000008,,,,,,
1970-01-01 00:00:00.000000008,,,,,,
1970-01-01 00:00:00.000000008,,,,,,
1970-01-01 00:00:00.000000008,,,,,,
1970-01-01 00:00:00.000000008,,,,,,
1970-01-01 00:00:00.000000008,,,,,,
1970-01-01 00:00:00.000000008,,,,,,
1970-01-01 00:00:00.000000008,,,,,,
1970-01-01 00:00:00.000000008,,,,,,
1970-01-01 00:00:00.000000008,,,,,,
1970-01-01 00:00:00.000000008,,,,,,
1970-01-01 00:00:00.000000009,,,,,,
1970-01-01 00:00:00.000000009,,,,,,
1970-01-01 00:00:00.000000009,,,,,,
1970-01-01 00:00:00.000000009,,,,,,
1970-01-01 00:00:00.000000009,,,,,,
1970-01-01 00:00:00.000000009,,,,,,
1970-01-01 00:00:00.000000009,,,,,,
1970-01-01 00:00:00.000000009,,,,,,
1970-01-01 00:00:00.000000009,,,,,,
1970-01-01 00:00:00.000000009,,,,,,
1970-01-01 00:00:00.000000009,,,,,,
1970-01-01 00:00:00.000000010,,,,,,
1970-01-01 00:00:00.000000010,,,,,,
1970-01-01 00:00:00.000000010,,,,,,
1970-01-01 00:00:00.000000010,,,,,,
1970-01-01 00:00:00.000000010,,,,,,
1970-01-01 00:00:00.000000010,,,,,,
1970-01-01 00:00:00.000000010,,,,,,
1970-01-01 00:00:00.000000010,,,,,,
1970-01-01 00:00:00.000000010,,,,,,
1970-01-01 00:00:00.000000010,,,,,,
1970-01-01 00:00:00.000000010,,,,,,
1970-01-01 00:00:00.000000011,,,,,,
1970-01-01 00:00:00.000000011,,,,,,
1970-01-01 00:00:00.000000011,,,,,,
1970-01-01 00:00:00.000000011,,,,,,
1970-01-01 00:00:00.000000011,,,,,,
1970-01-01 00:00:00.000000011,,,,,,
1970-01-01 00:00:00.000000011,,,,,,
1970-01-01 00:00:00.000000011,,,,,,
1970-01-01 00:00:00.000000011,,,,,,
1970-01-01 00:00:00.000000011,,,,,,
1970-01-01 00:00:00.000000011,,,,,,
1970-01-01 00:00:00.000000012,,,,,,
1970-01-01 00:00:00.000000012,,,,,,
1970-01-01 00:00:00.000000012,,,,,,
1970-01-01 00:00:00.000000012,,,,,,
1970-01-01 00:00:00.000000012,,,,,,
1970-01-01 00:00:00.000000012,,,,,,
1970-01-01 00:00:00.000000012,,,,,,
1970-01-01 00:00:00.000000012,,,,,,
1970-01-01 00:00:00.000000012,,,,,,
1970-01-01 00:00:00.000000012,,,,,,
1970-01-01 00:00:00.000000012,,,,,,
2008-01-31 00:00:00.000000000,334.10477913508953,4.429900293834336,,65.74667627730922,11.374193548387092,63.44935483870967
2008-02-29 00:00:00.000000000,168.82015112381617,6.240034670993446,,56.77526610366242,20.479310344827585,63.017931034482764
2008-03-31 00:00:00.000000000,246.50977045490288,18.118176265321818,,33.60904208694525,21.335483870967746,62.409354838709675
2008-04-30 00:00:00.000000000,166.70980912586396,29.985872566955486,,38.354516088970804,21.016666666666666,61.869
2008-05-31 00:00:00.000000000,140.9204467134544,58.889453531565366,,23.15986124172846,6.587096774193549,61.614193548387085
2008-06-30 00:00:00.000000000,87.64599861510736,78.92072526434018,,6.75510182003317,0.0,61.668
2008-07-31 00:00:00.000000000,3.8247366326417067,122.11295256989617,,0.4094039722118426,0.0,62.8316129032258
2008-08-31 00:00:00.000000000,71.9159333138198,103.57404082621704,,0.0032252190340882484,0.0,62.67774193548388
2008-09-30 00:00:00.000000000,31.431896145674525,49.32756984327189,,0.0,0.0,63.11533333333333
2008-10-31 00:00:00.000000000,109.38624691459405,11.165170234642012,,0.0,0.0,62.67709677419356
2008-11-30 00:00:00.000000000,246.26382896365868,2.294031092728113,,0.002348057190726368,0.05333333333333334,62.75
2008-12-31 00:00:00.000000000,307.5547864615834,3.483648025953087,,30.048279820415942,2.87741935483871,62.888709677419364
2009-01-31 00:00:00.000000000,235.51850381253342,3.0165345419648406,,7.961406466599003,8.348387096774196,63.22483870967742
2009-02-28 00:00:00.000000000,145.43624375710408,4.591779867504872,,9.201100571796086,8.753571428571428,63.1217857142857
2009-03-31 00:00:00.000000000,257.4574525457056,21.08327075501106,,22.45650492089907,15.535483870967742,63.23483870967742
2009-04-30 00:00:00.000000000,156.29836148475155,30.2575578579555,,12.129336588586925,13.403333333333332,63.053
2009-05-31 00:00:00.000000000,168.22238416257363,63.81484826309368,,3.62175592700075,1.1580645161290324,63.073870967741954
2009-06-30 00:00:00.000000000,56.48011751036746,88.93382505682848,,0.24220512245271658,0.0,63.00166666666667
